id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4zP7ADsgJgHGY6VzxbNp1z,Year 3000,67,201960,0,['Jonas Brothers'],['7gOdHgIoIKoe4i9Tta6qdD'],5/9/2019,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93E-06,0.335,0.798,106.965,4
6VfAg1vxowOt4KmAMhmimP,Year 3000,37,201960,0,['Jonas Brothers'],['7gOdHgIoIKoe4i9Tta6qdD'],12/20/2019,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93E-06,0.335,0.798,106.965,4
1bd0GHWmB4ZhPsdIUU6hp4,Year 3000,19,352435,0,['Artica'],['50d0OwoanSMRyNCail33BE'],12/1/2019,0.409,0.419,1,-15.994,0,0.0431,0.327,0.85,0.0717,0.0768,125.796,4
5Q8lhXskGhfVIMbRMGi9nk,Logical Brain - Year 3000 Mix,8,216705,0,['Electro Mann'],['715ETHjAlf1sXM4vFEmxjT'],10/24/2019,0.745,0.732,9,-11.286,1,0.0759,0.0832,0.929,0.0691,0.954,125,4
6GEOjP12NG6wnuQIg6NC5A,3000 Years of Lies - Original Version,9,308824,0,['UVB'],['1LiE3TKOyCds5GgIaBRRRs'],2/8/2019,0.699,0.994,7,-5.869,1,0.0442,0.000623,0.703,0.159,0.131,135.998,4
0tMyoWvO4SEIeXwtVJq800,The Year 3000,3,121000,1,['The Kaleidoscope Kid'],['6bTOQAA6dG8m3Jc86vLzaK'],9/26/2019,0.637,0.86,10,-7.973,0,0.342,0.641,0,0.382,0.206,144.066,4
6Aozy3hrN8BP6RRADoJQp3,Logical Brain - Year 3000 Mix,1,216705,0,['Electro Mann'],['715ETHjAlf1sXM4vFEmxjT'],11/15/2019,0.745,0.732,9,-11.286,1,0.0759,0.0832,0.929,0.0691,0.954,125.001,4
1LG4omqDIUFAsAIX768f9g,Vape Till da Year 3000,2,145334,0,['Craic Boi Mental'],['5KsCWlnWbfDVN7hAwm1C8Q'],10/30/2019,0.529,0.541,0,-10.899,1,0.122,0.5,4.67E-05,0.109,0.351,184.616,4
0Ke4BNjApUhk9bgvRDNSUe,Most Precious Love - DF Future 3000 Mix,4,433320,0,"['Blaze', 'UDAUFL', 'Barbara Tucker', 'Dennis Ferrer']","['5yK5YSsWKH35QRTsHQHxEN', '2GTRVovNrpq94MSO7m6VxJ', '6txh5tFMJyxSwT0iE7wX2w', '0MGTHZpAGf7isSfw8yMIoi']",6/21/2019,0.807,0.851,5,-7.49,1,0.051,0.000244,0.00812,0.0419,0.879,125.977,4
35dUmoQxLByO0rH1JT4ZeS,Darth Vader,1,363555,0,['Reza Golroo'],['5PgfADiJty3IuidZvOoFYM'],3/1/2019,0.766,0.871,0,-6.272,1,0.0406,0.00301,0.788,0.0708,0.142,128.001,4
